ID,Time[s],1:SPI: MOSI data
0,5.34394,30
1,5.35885,00
2,5.35889,0B
3,5.35898,01
4,5.35902,2E
5,5.35912,02
6,5.35916,06
7,5.35925,03
8,5.35929,47
9,5.35939,04
10,5.35943,D2
11,5.35952,05
12,5.35957,01
13,5.35966,06
14,5.3597,28
15,5.35979,07
16,5.35984,8C
17,5.35993,08
18,5.35997,05
19,5.36007,09
20,5.36011,00
21,5.3602,0A
22,5.36024,00
23,5.36034,0B
24,5.36038,06
25,5.36047,0C
26,5.36051,00
27,5.36061,0D
28,5.36065,21
29,5.36074,0E
30,5.36078,62
31,5.36088,0F
32,5.36092,76
33,5.36101,10
34,5.36105,CA
35,5.36115,11
36,5.36119,83
37,5.36128,12
38,5.36132,11
39,5.36142,13
40,5.36146,22
41,5.36155,14
42,5.36159,F8
43,5.36169,15
44,5.36173,35
45,5.36182,16
46,5.36187,07
47,5.36196,17
48,5.362,30
49,5.36209,18
50,5.36214,18
51,5.36223,19
52,5.36227,17
53,5.36237,1A
54,5.36241,6C
55,5.3625,1B
56,5.36254,43
57,5.36264,1C
58,5.36268,40
59,5.36277,1D
60,5.36281,91
61,5.36291,1E
62,5.36295,87
63,5.36304,1F
64,5.36308,6B
65,5.36318,20
66,5.36322,FB
67,5.36331,21
68,5.36335,56
69,5.36345,22
70,5.36349,10
71,5.36358,23
72,5.36362,E9
73,5.36372,24
74,5.36376,2A
75,5.36385,25
76,5.36389,00
77,5.36399,26
78,5.36403,1F
79,5.36412,27
80,5.36417,41
81,5.36426,28
82,5.3643,00
83,5.36439,29
84,5.36444,59
85,5.36453,2A
86,5.36457,7F
87,5.36467,2B
88,5.36471,3F
89,5.3648,2C
90,5.36484,81
91,5.36494,2D
92,5.36498,35
93,5.36507,2E
94,5.36511,09
95,5.36521,09
96,5.36525,00
97,5.36534,7E
98,5.36539,C0
99,5.36548,36
100,5.36556,F1
101,5.3656,00
102,5.36575,39
103,18.8494,36
104,18.8495,7F
105,18.8496,11
106,18.8496,49
107,18.8497,00
108,18.8497,07
109,18.8498,0F
110,18.8498,A2
111,18.8499,76
112,18.8499,17
113,18.85,0E
114,18.85,CF
115,18.8501,A2
116,18.8501,81
117,18.8502,48
118,18.8503,47
119,18.8503,CF
120,18.8504,A2
121,18.8504,7E
122,18.8505,D3
123,18.8505,35
124,18.8571,39
125,33.8504,36
126,33.8505,7F
127,33.8506,11
128,33.8506,49
129,33.8507,01
130,33.8507,07
131,33.8508,0F
132,33.8508,A2
133,33.8509,76
134,33.8509,17
135,33.851,0E
136,33.851,CF
137,33.8511,A3
138,33.8511,81
139,33.8512,48
140,33.8512,47
141,33.8513,CF
142,33.8513,A2
143,33.8514,7E
144,33.8514,D3
145,33.8515,35
146,33.858,39
